first,last,age,state,weight
Joe,Little,14,Nebraska,
Richard,Winn,77,North Carolina,146.0
Paul,England,15,Florida,
Erica,Winchester,90,Kentucky,197.0
William,Burket,52,Massachusetts,154.0
Katelyn,Delgado,87,Arkansas,179.0
James,Mulinix,82,Oklahoma,149.0
Milton,Ashlock,8,Delaware,
Patricia,Campbell,73,Tennessee,155.0
Charles,Pittman,61,Delaware,243.0
Mildred,Rizzo,28,New Mexico,153.0
Jessica,Clark,86,Utah,243.0
Jean,Blair,33,New Hampshire,211.0
Bryan,Harris,93,Iowa,149.0
Kelly,Kuhls,50,Colorado,184.0
Marvin,Hodge,57,Mississippi,167.0
Margaret,Williams,73,Missouri,210.0
Wm,Reither,28,Georgia,236.0
Richard,Smith,28,Illinois,192.0
Patrick,Mills,60,Connecticut,215.0
Robert,Ruvalcaba,40,Nebraska,194.0
Billy,Cooke,52,Alaska,197.0
Jill,Mccary,77,New Hampshire,186.0
Carl,Mendieta,4,Nevada,
Brian,Mulcahy,8,Vermont,
Claire,Juarez,81,Alabama,170.0
Pamela,Timm,7,Kentucky,
Frederick,Rilley,65,Vermont,179.0
Marc,Ragan,4,Vermont,
Casey,Charles,3,Delaware,
Nannie,Deibert,61,Oklahoma,238.0
Bernice,Bentley,35,Rhode Island,162.0
Marian,Pearce,25,Montana,178.0
Pamela,Dorsey,7,Pennsylvania,
Allen,Haas,87,Maryland,180.0
Santos,Lawson,41,Hawaii,208.0
Sara,Robinson,46,Connecticut,187.0
Helen,Gregory,73,Louisiana,148.0
Sheryl,Ferguson,21,Indiana,188.0
Kathryn,Joubert,44,Missouri,240.0
Samuel,Aspinall,59,Montana,184.0
Miss,Martinez,30,Minnesota,214.0
Victor,Hill,86,Colorado,220.0
Violet,Holmes,30,West Virginia,176.0
Thomas,Ledbetter,11,Wisconsin,
Mary,Gentry,53,New Mexico,145.0
Alexander,Horrell,62,Michigan,208.0
Henrietta,Williams,54,Georgia,194.0
Dorothy,Turner,15,Iowa,
Joyce,Helton,6,Alaska,
Margarita,Paulsen,72,Maine,201.0
Troy,Rahe,12,New Hampshire,
Peggy,Mitchell,69,Minnesota,208.0
Charles,Primeaux,38,Tennessee,147.0
Corey,Daniel,72,Maryland,237.0
Deborah,Whittmore,37,Maryland,198.0
Christian,Treto,50,New Hampshire,164.0
John,Bayard,89,Nevada,204.0
Beatrice,Wiebe,86,South Carolina,177.0
Stephen,Hodo,32,Iowa,183.0
Charles,Hall,90,Virginia,220.0
Gerald,Williams,83,New Jersey,200.0
Harold,Ferris,56,Mississippi,185.0
Thomas,Hale,30,Michigan,185.0
Graham,Whiteman,93,North Dakota,203.0
Bernard,Copeland,29,Tennessee,242.0
Ben,Stutzman,45,Kentucky,174.0
Lucille,Tippin,82,Michigan,167.0
Walter,Ballinger,56,North Carolina,146.0
Ryan,Phelps,67,North Carolina,214.0
Renee,Lewis,27,North Dakota,142.0
Frank,Crow,36,Missouri,184.0
Adrian,Bergeron,15,Tennessee,
David,Gray,2,Florida,
Vicki,Steele,5,Louisiana,
Vida,Medrano,88,Arizona,161.0
Linda,Miller,45,South Carolina,145.0
Laura,Aitken,47,Maryland,228.0
Geri,Addiego,29,Montana,188.0
Clara,Larsen,5,South Dakota,
Julie,Rush,12,Connecticut,
Robert,Mayoras,27,New York,170.0
James,Seiberling,65,Wyoming,179.0
John,Williams,85,Oklahoma,170.0
Ethel,Kolb,12,Hawaii,
Cathy,Tardif,89,Illinois,207.0
Janene,Fields,67,Virginia,217.0
Andrew,Puffinburger,5,Texas,
Deedee,Griffin,12,Alabama,
Mary,Schwantes,45,Montana,160.0
John,Lopez,15,Louisiana,
Marylyn,Perez,14,Michigan,
Jacob,Treece,13,South Carolina,
Amelia,Halley,87,Vermont,157.0
Robert,Mittman,88,Massachusetts,191.0
Eric,Voskamp,7,Kentucky,
Marilyn,Jones,30,Kansas,220.0
Ethel,Bruyere,34,Ohio,147.0
Jared,Zbell,8,Vermont,
Frank,Landingham,92,Nevada,144.0
Yvette,Swanson,90,Texas,152.0
Marion,Smith,57,Michigan,149.0
Steven,Landes,39,Nebraska,144.0
Amy,Toner,16,Alabama,
Sophia,Estep,93,Virginia,222.0
Richard,Rodriguez,58,California,145.0
Marie,Stcharles,76,Rhode Island,204.0
Michael,Owens,24,Connecticut,188.0
Tamala,Duncan,20,Wisconsin,139.0
Savannah,Stevens,89,Oklahoma,174.0
John,Sharp,32,Alabama,151.0
Charlotte,Powell,9,North Dakota,
Craig,Greenway,9,New Mexico,
Mary,Swindell,44,Louisiana,240.0
Ralph,Sherrill,12,Alaska,
Charles,Cardwell,10,Kansas,
Jennifer,Estey,72,Connecticut,197.0
Barbara,Johnson,32,South Carolina,243.0
Catherine,Lovett,47,New Mexico,206.0
Christian,Grant,40,Wisconsin,183.0
Antonio,Bluhm,28,Georgia,226.0
Nancy,Mckeller,49,Alaska,180.0
Larry,Cass,49,Kansas,165.0
Adam,Warren,32,Nevada,144.0
Dan,Scott,93,Wyoming,226.0
Nicolette,Young,53,Maryland,163.0
Mary,Troy,88,New Jersey,240.0
Helene,Jaegers,13,Utah,
Marty,Hernandez,30,West Virginia,201.0
Brenda,Whitlock,39,Massachusetts,177.0
Brenda,Lindsey,29,Alabama,218.0
Jason,Pagel,84,Kansas,219.0
Richard,Wilson,7,Ohio,
Edwin,Capobianco,71,Oklahoma,222.0
Bambi,Anderson,12,Arkansas,
Latrice,Fields,62,Kansas,215.0
Julian,Caggiano,83,Arizona,219.0
Joseph,Faler,31,Montana,208.0
Mary,Williams,70,New Jersey,145.0
Peter,Kern,57,Georgia,226.0
Annette,Rehberg,74,Maryland,241.0
Cecilia,Gonzalez,17,Missouri,
Evelyn,Carl,26,Alabama,243.0
Daniel,Ruiz,17,Florida,
Cruz,Knauss,14,Mississippi,
Stephen,Dubois,46,New York,221.0
Duane,Mackey,30,Massachusetts,153.0
Clara,Anding,50,North Dakota,155.0
Teresa,Ford,42,Arkansas,170.0
Rodney,Sullivan,67,North Carolina,173.0
Deanna,Bangert,42,Maine,170.0
Randall,Brown,39,Arkansas,148.0
Amy,Spears,54,Nevada,231.0
Deanna,Custard,28,Washington,154.0
Amy,Hicks,86,Kentucky,241.0
Tom,London,44,Vermont,146.0
Alex,Hull,81,Nevada,243.0
